date;issues_found;vending_machine_id;full_name;work_description
2024-10-04 10:54:29;Зависла сессия оплаты;166c8a3f-a211-4d25-b2d4-a5b0b5f067d5;b38b5bfe-a0f9-481e-b2af-3c6bf43297d2;Замена дисплея
2025-02-12 12:21:02;Не работает модем;89c05e76-6b7e-4d72-b97c-62ecb96b1370;b38b5bfe-a0f9-481e-b2af-3c6bf43297d2;Обновление программного обеспечения
2024-06-12 06:45:32;Зависла сессия оплаты;53e2ec2e-d407-4e9a-a1d9-5a9501e81ede;b38b5bfe-a0f9-481e-b2af-3c6bf43297d2;Настройка сетевого соединения
2024-08-06 11:59:47;Не работает модем;e1d62e6a-5427-4dda-8209-bb584bfbc9e5;b38b5bfe-a0f9-481e-b2af-3c6bf43297d2;Перезагрузка системы
2024-12-19 05:04:37;;4daae871-71ac-44da-8b58-dcf1a2ae907a;b38b5bfe-a0f9-481e-b2af-3c6bf43297d2;Замена модема
2024-11-23 03:36:54;Протечка в отсеке с напитками;70f22c9f-de0a-41a9-9a53-cabf42688d47;b38b5bfe-a0f9-481e-b2af-3c6bf43297d2;Обновление программного обеспечения
2025-03-26 21:18:26;Аппарат не выдает товар;4daae871-71ac-44da-8b58-dcf1a2ae907a;b38b5bfe-a0f9-481e-b2af-3c6bf43297d2;Пополнение товара
2025-02-03 02:01:45;Проблемы с термобумагой;a977e322-192c-4567-9f5f-36f504bfc13d;b38b5bfe-a0f9-481e-b2af-3c6bf43297d2;Ремонт купюроприемника
2024-11-20 11:29:25;Проблемы с термобумагой;53e2ec2e-d407-4e9a-a1d9-5a9501e81ede;b38b5bfe-a0f9-481e-b2af-3c6bf43297d2;Настройка сетевого соединения
2024-12-17 12:08:29;Не закрывается люк обслуживания;dc92a945-80cf-4c86-8927-97026c6e82da;b38b5bfe-a0f9-481e-b2af-3c6bf43297d2;Чистка внутренних узлов
2024-04-20 07:06:14;;a977e322-192c-4567-9f5f-36f504bfc13d;b38b5bfe-a0f9-481e-b2af-3c6bf43297d2;Замена дисплея
2024-12-28 15:43:21;Аппарат не выдает товар;53e2ec2e-d407-4e9a-a1d9-5a9501e81ede;b38b5bfe-a0f9-481e-b2af-3c6bf43297d2;Замена дисплея
2024-11-17 14:14:58;Не работает модем;4daae871-71ac-44da-8b58-dcf1a2ae907a;b38b5bfe-a0f9-481e-b2af-3c6bf43297d2;Настройка сетевого соединения
2024-08-27 00:54:11;Заклинил монетоприемник;e1d62e6a-5427-4dda-8209-bb584bfbc9e5;01f0b7d3-9b64-49d0-b63e-9190d736d091;Проверка телеметрии
2024-09-13 13:21:43;;0a9a91bf-0fcc-44ac-b3c2-88a33411413a;01f0b7d3-9b64-49d0-b63e-9190d736d091;Замена дисплея
2025-02-26 20:26:20;Не работает модем;70f22c9f-de0a-41a9-9a53-cabf42688d47;01f0b7d3-9b64-49d0-b63e-9190d736d091;Обновление программного обеспечения
2024-10-30 15:03:25;Повреждён корпус;4daae871-71ac-44da-8b58-dcf1a2ae907a;01f0b7d3-9b64-49d0-b63e-9190d736d091;Проверка телеметрии
2024-09-15 13:49:48;Не закрывается люк обслуживания;4daae871-71ac-44da-8b58-dcf1a2ae907a;01f0b7d3-9b64-49d0-b63e-9190d736d091;Пополнение товара
2024-09-05 14:35:25;Заклинил монетоприемник;7ed68dd4-ef8b-4124-9084-bc16ee8f10d3;01f0b7d3-9b64-49d0-b63e-9190d736d091;Загрузка новой товарной матрицы
2025-01-19 22:23:29;Заклинил монетоприемник;4daae871-71ac-44da-8b58-dcf1a2ae907a;01f0b7d3-9b64-49d0-b63e-9190d736d091;Замена модема
2025-02-05 07:02:31;Проблемы с термобумагой;166c8a3f-a211-4d25-b2d4-a5b0b5f067d5;01f0b7d3-9b64-49d0-b63e-9190d736d091;Проверка телеметрии
2024-08-29 18:51:26;Не закрывается люк обслуживания;53e2ec2e-d407-4e9a-a1d9-5a9501e81ede;01f0b7d3-9b64-49d0-b63e-9190d736d091;Ремонт купюроприемника
2024-09-15 23:46:26;Проблемы с термобумагой;0a9a91bf-0fcc-44ac-b3c2-88a33411413a;01f0b7d3-9b64-49d0-b63e-9190d736d091;Проверка телеметрии
2024-11-13 16:04:30;Не работает модем;4daae871-71ac-44da-8b58-dcf1a2ae907a;01f0b7d3-9b64-49d0-b63e-9190d736d091;Обновление программного обеспечения
2024-06-07 05:39:43;Не закрывается люк обслуживания;7ed68dd4-ef8b-4124-9084-bc16ee8f10d3;01f0b7d3-9b64-49d0-b63e-9190d736d091;Загрузка новой товарной матрицы
2024-10-12 17:58:46;Проблемы с термобумагой;166c8a3f-a211-4d25-b2d4-a5b0b5f067d5;01f0b7d3-9b64-49d0-b63e-9190d736d091;Проверка телеметрии
2024-08-06 11:20:51;Проблемы с термобумагой;dc92a945-80cf-4c86-8927-97026c6e82da;01f0b7d3-9b64-49d0-b63e-9190d736d091;Пополнение товара
2024-10-13 09:39:53;Не работает модем;a977e322-192c-4567-9f5f-36f504bfc13d;01f0b7d3-9b64-49d0-b63e-9190d736d091;Ремонт купюроприемника
2024-09-19 06:27:26;Не работает модем;53e2ec2e-d407-4e9a-a1d9-5a9501e81ede;01f0b7d3-9b64-49d0-b63e-9190d736d091;Замена модема
2024-11-27 07:34:15;Сбой системы оплаты;0a9a91bf-0fcc-44ac-b3c2-88a33411413a;01f0b7d3-9b64-49d0-b63e-9190d736d091;Перезагрузка системы
2025-03-11 08:15:13;Проблемы с термобумагой;0a9a91bf-0fcc-44ac-b3c2-88a33411413a;01f0b7d3-9b64-49d0-b63e-9190d736d091;Чистка внутренних узлов
2024-04-29 04:35:32;Не работает модем;0a9a91bf-0fcc-44ac-b3c2-88a33411413a;01f0b7d3-9b64-49d0-b63e-9190d736d091;Обновление программного обеспечения
2024-08-13 04:23:05;Ошибка дисплея;dc92a945-80cf-4c86-8927-97026c6e82da;01f0b7d3-9b64-49d0-b63e-9190d736d091;Перезагрузка системы
2024-10-30 08:19:50;Не работает модем;dc92a945-80cf-4c86-8927-97026c6e82da;01f0b7d3-9b64-49d0-b63e-9190d736d091;Чистка внутренних узлов
2024-11-30 20:44:39;Аппарат не выдает товар;dc92a945-80cf-4c86-8927-97026c6e82da;01f0b7d3-9b64-49d0-b63e-9190d736d091;Проверка телеметрии
2024-10-27 21:59:14;Протечка в отсеке с напитками;166c8a3f-a211-4d25-b2d4-a5b0b5f067d5;01f0b7d3-9b64-49d0-b63e-9190d736d091;Чистка внутренних узлов
2024-09-29 04:25:59;Не работает модем;166c8a3f-a211-4d25-b2d4-a5b0b5f067d5;01f0b7d3-9b64-49d0-b63e-9190d736d091;Загрузка новой товарной матрицы
2024-05-14 06:11:43;Проблемы с термобумагой;e1d62e6a-5427-4dda-8209-bb584bfbc9e5;01f0b7d3-9b64-49d0-b63e-9190d736d091;Замена модема
2024-09-09 23:34:56;Не закрывается люк обслуживания;53e2ec2e-d407-4e9a-a1d9-5a9501e81ede;01f0b7d3-9b64-49d0-b63e-9190d736d091;Обновление программного обеспечения
2024-05-10 03:54:29;Зависла сессия оплаты;166c8a3f-a211-4d25-b2d4-a5b0b5f067d5;b38b5bfe-a0f9-481e-b2af-3c6bf43297d2;Пополнение товара
2024-12-30 04:34:14;Не работает модем;53e2ec2e-d407-4e9a-a1d9-5a9501e81ede;b38b5bfe-a0f9-481e-b2af-3c6bf43297d2;Ремонт купюроприемника
2024-06-10 15:24:21;Сбой системы оплаты;0a9a91bf-0fcc-44ac-b3c2-88a33411413a;b38b5bfe-a0f9-481e-b2af-3c6bf43297d2;Замена модема
2024-05-24 21:02:58;Сбой системы оплаты;53e2ec2e-d407-4e9a-a1d9-5a9501e81ede;b38b5bfe-a0f9-481e-b2af-3c6bf43297d2;Чистка внутренних узлов
2025-01-05 04:19:31;Повреждён корпус;dc92a945-80cf-4c86-8927-97026c6e82da;b38b5bfe-a0f9-481e-b2af-3c6bf43297d2;Обновление программного обеспечения
2024-07-28 18:06:17;Аппарат не выдает товар;7ed68dd4-ef8b-4124-9084-bc16ee8f10d3;b38b5bfe-a0f9-481e-b2af-3c6bf43297d2;Загрузка новой товарной матрицы
2024-12-25 14:02:09;Не работает модем;166c8a3f-a211-4d25-b2d4-a5b0b5f067d5;b38b5bfe-a0f9-481e-b2af-3c6bf43297d2;Проверка телеметрии
2024-08-08 17:56:05;Не закрывается люк обслуживания;89c05e76-6b7e-4d72-b97c-62ecb96b1370;b38b5bfe-a0f9-481e-b2af-3c6bf43297d2;Пополнение товара
2025-02-12 06:52:27;Протечка в отсеке с напитками;70f22c9f-de0a-41a9-9a53-cabf42688d47;b38b5bfe-a0f9-481e-b2af-3c6bf43297d2;Обновление программного обеспечения
2025-02-11 23:51:43;Аппарат не выдает товар;70f22c9f-de0a-41a9-9a53-cabf42688d47;b38b5bfe-a0f9-481e-b2af-3c6bf43297d2;Перезагрузка системы
2024-06-11 12:52:13;;a977e322-192c-4567-9f5f-36f504bfc13d;b38b5bfe-a0f9-481e-b2af-3c6bf43297d2;Пополнение товара
2024-09-22 20:55:21;Повреждён корпус;89c05e76-6b7e-4d72-b97c-62ecb96b1370;b38b5bfe-a0f9-481e-b2af-3c6bf43297d2;Пополнение товара
2024-07-13 02:20:00;Не закрывается люк обслуживания;7ed68dd4-ef8b-4124-9084-bc16ee8f10d3;b38b5bfe-a0f9-481e-b2af-3c6bf43297d2;Чистка внутренних узлов
2024-09-20 15:26:23;Проблемы с термобумагой;e1d62e6a-5427-4dda-8209-bb584bfbc9e5;b38b5bfe-a0f9-481e-b2af-3c6bf43297d2;Пополнение товара
2025-02-28 22:34:41;Аппарат не выдает товар;dc92a945-80cf-4c86-8927-97026c6e82da;b38b5bfe-a0f9-481e-b2af-3c6bf43297d2;Чистка внутренних узлов
2025-03-03 13:25:16;Аппарат не выдает товар;e1d62e6a-5427-4dda-8209-bb584bfbc9e5;b38b5bfe-a0f9-481e-b2af-3c6bf43297d2;Замена модема
2025-01-07 20:34:07;Заклинил монетоприемник;7ed68dd4-ef8b-4124-9084-bc16ee8f10d3;b38b5bfe-a0f9-481e-b2af-3c6bf43297d2;Загрузка новой товарной матрицы
2024-08-02 16:44:29;Протечка в отсеке с напитками;e1d62e6a-5427-4dda-8209-bb584bfbc9e5;b38b5bfe-a0f9-481e-b2af-3c6bf43297d2;Пополнение товара
2024-08-17 13:28:03;;7ed68dd4-ef8b-4124-9084-bc16ee8f10d3;b38b5bfe-a0f9-481e-b2af-3c6bf43297d2;Ремонт купюроприемника
2024-08-14 18:55:25;Ошибка дисплея;dc92a945-80cf-4c86-8927-97026c6e82da;b38b5bfe-a0f9-481e-b2af-3c6bf43297d2;Ремонт купюроприемника
2024-04-14 02:41:19;Заклинил монетоприемник;e1d62e6a-5427-4dda-8209-bb584bfbc9e5;b38b5bfe-a0f9-481e-b2af-3c6bf43297d2;Чистка внутренних узлов
2024-05-09 18:22:27;Аппарат не выдает товар;4daae871-71ac-44da-8b58-dcf1a2ae907a;b38b5bfe-a0f9-481e-b2af-3c6bf43297d2;Настройка сетевого соединения
2024-07-14 20:16:52;Проблемы с термобумагой;e1d62e6a-5427-4dda-8209-bb584bfbc9e5;b38b5bfe-a0f9-481e-b2af-3c6bf43297d2;Обновление программного обеспечения
2024-06-18 01:04:53;Не работает модем;e1d62e6a-5427-4dda-8209-bb584bfbc9e5;b38b5bfe-a0f9-481e-b2af-3c6bf43297d2;Проверка телеметрии
2025-04-10 13:39:19;Повреждён корпус;70f22c9f-de0a-41a9-9a53-cabf42688d47;b38b5bfe-a0f9-481e-b2af-3c6bf43297d2;Настройка сетевого соединения
2024-08-31 03:27:26;Протечка в отсеке с напитками;e1d62e6a-5427-4dda-8209-bb584bfbc9e5;b38b5bfe-a0f9-481e-b2af-3c6bf43297d2;Замена дисплея
2024-07-21 22:14:06;Аппарат не выдает товар;7ed68dd4-ef8b-4124-9084-bc16ee8f10d3;b38b5bfe-a0f9-481e-b2af-3c6bf43297d2;Перезагрузка системы
2024-07-19 08:24:09;Аппарат не выдает товар;4daae871-71ac-44da-8b58-dcf1a2ae907a;7a051229-40bb-443e-80b8-024cb239f52b;Чистка внутренних узлов
2024-05-31 15:24:35;Зависла сессия оплаты;e1d62e6a-5427-4dda-8209-bb584bfbc9e5;7a051229-40bb-443e-80b8-024cb239f52b;Пополнение товара
2024-12-26 05:59:36;Не закрывается люк обслуживания;89c05e76-6b7e-4d72-b97c-62ecb96b1370;7a051229-40bb-443e-80b8-024cb239f52b;Ремонт купюроприемника
2025-02-22 22:11:33;;70f22c9f-de0a-41a9-9a53-cabf42688d47;7a051229-40bb-443e-80b8-024cb239f52b;Пополнение товара
2025-01-22 18:18:20;Ошибка дисплея;a977e322-192c-4567-9f5f-36f504bfc13d;7a051229-40bb-443e-80b8-024cb239f52b;Замена дисплея
2024-11-27 19:58:37;Заклинил монетоприемник;166c8a3f-a211-4d25-b2d4-a5b0b5f067d5;7a051229-40bb-443e-80b8-024cb239f52b;Пополнение товара
2024-11-10 18:56:38;Аппарат не выдает товар;e1d62e6a-5427-4dda-8209-bb584bfbc9e5;7a051229-40bb-443e-80b8-024cb239f52b;Перезагрузка системы
2024-05-21 16:47:26;;dc92a945-80cf-4c86-8927-97026c6e82da;7a051229-40bb-443e-80b8-024cb239f52b;Загрузка новой товарной матрицы
2024-10-11 19:23:46;;7ed68dd4-ef8b-4124-9084-bc16ee8f10d3;7a051229-40bb-443e-80b8-024cb239f52b;Перезагрузка системы
2025-02-12 15:53:35;Не работает модем;a977e322-192c-4567-9f5f-36f504bfc13d;7a051229-40bb-443e-80b8-024cb239f52b;Ремонт купюроприемника
2024-12-02 14:35:10;Протечка в отсеке с напитками;53e2ec2e-d407-4e9a-a1d9-5a9501e81ede;7a051229-40bb-443e-80b8-024cb239f52b;Проверка телеметрии
2024-08-02 22:52:50;Заклинил монетоприемник;53e2ec2e-d407-4e9a-a1d9-5a9501e81ede;7a051229-40bb-443e-80b8-024cb239f52b;Пополнение товара
2024-09-08 05:50:56;Проблемы с термобумагой;a977e322-192c-4567-9f5f-36f504bfc13d;7a051229-40bb-443e-80b8-024cb239f52b;Загрузка новой товарной матрицы
2025-02-27 06:44:04;Сбой системы оплаты;89c05e76-6b7e-4d72-b97c-62ecb96b1370;7a051229-40bb-443e-80b8-024cb239f52b;Замена дисплея
2024-08-19 01:45:46;Не закрывается люк обслуживания;70f22c9f-de0a-41a9-9a53-cabf42688d47;7a051229-40bb-443e-80b8-024cb239f52b;Загрузка новой товарной матрицы
2024-06-20 05:28:18;Зависла сессия оплаты;70f22c9f-de0a-41a9-9a53-cabf42688d47;7a051229-40bb-443e-80b8-024cb239f52b;Чистка внутренних узлов
2025-01-19 03:51:13;Сбой системы оплаты;89c05e76-6b7e-4d72-b97c-62ecb96b1370;7a051229-40bb-443e-80b8-024cb239f52b;Проверка телеметрии
2025-01-01 16:27:17;Протечка в отсеке с напитками;70f22c9f-de0a-41a9-9a53-cabf42688d47;7a051229-40bb-443e-80b8-024cb239f52b;Замена модема
2024-12-10 11:30:29;Заклинил монетоприемник;89c05e76-6b7e-4d72-b97c-62ecb96b1370;7a051229-40bb-443e-80b8-024cb239f52b;Загрузка новой товарной матрицы
2024-06-04 04:43:01;Зависла сессия оплаты;dc92a945-80cf-4c86-8927-97026c6e82da;7a051229-40bb-443e-80b8-024cb239f52b;Ремонт купюроприемника
2025-04-08 22:11:18;Повреждён корпус;0a9a91bf-0fcc-44ac-b3c2-88a33411413a;7a051229-40bb-443e-80b8-024cb239f52b;Чистка внутренних узлов
2024-04-23 11:05:22;Зависла сессия оплаты;7ed68dd4-ef8b-4124-9084-bc16ee8f10d3;7a051229-40bb-443e-80b8-024cb239f52b;Загрузка новой товарной матрицы
